# post-mediated xDR export — synthetic, generated by gen-postmed-xdr.py
REC_SEQ|MED_FILE_ID|SWITCH_ID|REC_TYPE|IMSI|MSISDN|OTHER_PARTY|CELL_ID|APN|START_AT|EVENT_DATE|DURATION_SEC|BYTES_UP|BYTES_DOWN|RATED_AMOUNT|CURRENCY|ROAM_FLAG|MED_STATUS
20260902-000001|MED-20260902-001|MSC-NORTH-02|SMS|001190636654662|991444975883|997831426376|06615-085|NULL|2026-09-02 14:44:43|2026-09-02|0|||0.0406|XTS|NATIONAL|RATED
20260902-000002|MED-20260902-001|SGSN-CENTRAL-01|DATA|001030218870912|993053888996|N/A|08868-178|ims.test|2026-09-02 12:44:15|2026-09-02|1489|4485790|59716065|0.2734|XTS|HOME|RATED
20260902-000003|MED-20260902-001|MSC-NORTH-02|VOICE|001190323498555|992712044166|996644120821|16454-187|NULL|2026-09-02 20:02:57|2026-09-02|3231|||5.7695|XTS|INTL|RATED
20260902-000004|MED-20260902-001|MSC-NORTH-01|VOICE|001190811209299|999868276978|997998537962|36608-195|NULL|2026-09-02 20:31:08|2026-09-02|2204|||9.2966|XTS|HOME|RATED
20260902-000005|MED-20260902-001|MSC-NORTH-01|VOICE|001190552391914|998705431385|990281788765|24930-085|NULL|2026-09-02 22:06:10|2026-09-02|2181|||7.5927|XTS|INTL|RATED
20260902-000006|MED-20260902-001|MSC-NORTH-01|SMS|001060538334584|996328874587|992526492105|17779-226|NULL|2026-09-02 12:51:25|2026-09-02|0|||0.0463|XTS|INTL|RATED
20260902-000007|MED-20260902-001|MSC-NORTH-02|VOICE|001030940470594|997581708169|999345784050|52132-248|NULL|2026-09-02 09:38:33|2026-09-02|2493|||9.4302|XTS|HOME|RATED
20260902-000008|MED-20260902-001|SGSN-CENTRAL-01|DATA|001060063975079|990925615124|N/A|02322-062|ims.test|2026-09-02 04:28:10|2026-09-02|87|4228148|61537455|0.5866|XTS|HOME|RATED
20260902-000009|MED-20260902-001|MSC-NORTH-02|VOICE|001060089082308|996704232797|991417706632|45223-043|NULL|2026-09-02 11:50:20|2026-09-02|468|||2.0587|XTS|INTL|RATED
20260902-000010|MED-20260902-001|MSC-NORTH-02|SMS|001190520315703|991925949186|994175392889|58316-113|NULL|2026-09-02 22:24:09|2026-09-02|0|||0.0609|XTS|NATIONAL|RATED
20260902-000011|MED-20260902-001|SGSN-CENTRAL-01|DATA|001190513519918|997005069958|N/A|46731-253|ims.test|2026-09-02 13:05:57|2026-09-02|6001|173161|76841556|0.9011|XTS|INTL|RATED
20260902-000012|MED-20260902-001|MSC-NORTH-01|VOICE|001030007236155|991398514093|998332444940|15468-099|NULL|2026-09-02 08:34:28|2026-09-02|2235|||11.0687|XTS|HOME|RATED
20260902-000013|MED-20260902-001|MSC-NORTH-01|SMS|001190050308251|995885088634|992327414373|14360-175|NULL|2026-09-02 14:42:39|2026-09-02|0|||0.0121|XTS|NATIONAL|RATED
20260902-000014|MED-20260902-001|MSC-NORTH-02|SMS|001060310630425|995752658738|995576131856|36048-071|NULL|2026-09-02 01:18:36|2026-09-02|0|||0.0625|XTS|HOME|RATED
20260902-000015|MED-20260902-001|MSC-NORTH-01|VOICE|001060385125690|996394011773|996681754835|26432-059|NULL|2026-09-02 12:31:52|2026-09-02|2399|||7.4366|XTS|HOME|RATED
20260902-000016|MED-20260902-001|MSC-NORTH-02|VOICE|001030495655077|993749387475|996158231295|20475-058|NULL|2026-09-02 14:21:14|2026-09-02|938|||4.8529|XTS|INTL|RATED
20260902-000017|MED-20260902-001|MSC-NORTH-01|SMS|001060723337759|999316907700|995991058254|53915-143|NULL|2026-09-02 14:26:47|2026-09-02|0|||0.0654|XTS|HOME|RATED
20260902-000018|MED-20260902-001|MSC-NORTH-02|VOICE|001190997858957|996303427321|990500797605|50095-067|NULL|2026-09-02 19:20:38|2026-09-02|1369|||3.1620|XTS|HOME|RATED
20260902-000019|MED-20260902-001|MME-SOUTH-03|DATA|001030012983903|998281120772|N/A|54499-239|ims.test|2026-09-02 00:51:28|2026-09-02|3364|105882|72083059|1.0365|XTS|INTL|RATED
20260902-000020|MED-20260902-001|SGSN-CENTRAL-01|DATA|001190180961096|993729649696|N/A|46097-187|mms.test|2026-09-02 02:57:14|2026-09-02|1302|4694701|17664318|0.3070|XTS|NATIONAL|RATED
20260902-000021|MED-20260902-001|MSC-NORTH-02|VOICE|001030950772518|991649343601|996892264938|55681-072|NULL|2026-09-02 19:55:03|2026-09-02|2059|||1.5517|XTS|NATIONAL|RATED
20260902-000022|MED-20260902-001|MSC-NORTH-01|VOICE|001190553365711|991551936743|991591438937|39888-222|NULL|2026-09-02 18:46:59|2026-09-02|1231|||3.7362|XTS|HOME|RATED
20260902-000023|MED-20260902-001|MSC-NORTH-01|VOICE|001190656190751|999746600457|997885685793|13448-135|NULL|2026-09-02 11:42:14|2026-09-02|2583|||1.8156|XTS|HOME|RATED
20260902-000024|MED-20260902-001|MSC-NORTH-02|SMS|001060604364731|992136413937|994284430327|31849-004|NULL|2026-09-02 07:37:11|2026-09-02|0|||0.0652|XTS|NATIONAL|RATED
20260902-000025|MED-20260902-001|SGSN-CENTRAL-01|DATA|001060326677370|991153463639|N/A|46219-120|ims.test|2026-09-02 17:42:59|2026-09-02|4701|2694727|1743161|0.0605|XTS|HOME|RATED
20260902-000026|MED-20260902-001|MME-SOUTH-03|DATA|001190787954284|996988172524|N/A|61442-184|ims.test|2026-09-02 22:56:56|2026-09-02|4778|108759|32542964|0.2265|XTS|INTL|RATED
20260902-000027|MED-20260902-001|MSC-NORTH-02|VOICE|001190269082233|990682623341|999893691715|27761-221|NULL|2026-09-02 03:41:17|2026-09-02|1334|||6.4797|XTS|HOME|RATED
20260902-000028|MED-20260902-001|MME-SOUTH-03|DATA|001060801584682|993522541960|N/A|45484-089|mms.test|2026-09-02 21:43:47|2026-09-02|3760|3406328|46764427||XTS|HOME|UNRATED
20260902-000029|MED-20260902-001|MSC-NORTH-01|VOICE|001060335386888|992868071774|996125695453|00566-225|NULL|2026-09-02 08:48:55|2026-09-02|2062|||1.2895|XTS|HOME|RATED
20260902-000030|MED-20260902-001|MSC-NORTH-02|VOICE|001190398001479|996620738027|998788994900|46304-101|NULL|2026-09-02 09:31:35|2026-09-02|1481|||5.0078|XTS|HOME|RATED
20260902-000031|MED-20260902-001|MME-SOUTH-03|DATA|001030706189390|998304342022|N/A|62168-073|mms.test|2026-09-02 18:25:16|2026-09-02|1014|1683276|40012104|0.4857|XTS|HOME|RATED
20260902-000032|MED-20260902-001|MSC-NORTH-01|VOICE|001060321554746|993898683994|995699860360|49619-226|NULL|2026-09-02 11:53:26|2026-09-02|2414|||13.3401|XTS|HOME|RATED
20260902-000033|MED-20260902-001|MME-SOUTH-03|DATA|001030405740955|997467685971|N/A|20231-136|mms.test|2026-09-02 15:55:53|2026-09-02|5716|3461879|37798776|0.1736|XTS|HOME|RATED
20260902-000034|MED-20260902-001|MME-SOUTH-03|DATA|001190700567017|991264567936|N/A|58375-092|internet.test|2026-09-02 09:15:23|2026-09-02|1965|1199704|29192707|0.5499|XTS|HOME|RATED
20260902-000035|MED-20260902-001|SGSN-CENTRAL-01|DATA|001190375459917|990325335553|N/A|54097-059|ims.test|2026-09-02 18:02:31|2026-09-02|6286|3412646|17879252|0.2564|XTS|HOME|RATED
